Type,PlayerID,PlayerID_Override,Order,Rosterable,DOB,Range$,Target,Team,Pos,Prj$,Player,Drafted,MyRank,YahRnk,ESPNRnk,Other,TierID,MyLeague$,Yah$,YAvg$,YDelta$,ESPN$,Actual$,Manager,Paid$,Delta$,Surplus,Budget%,PrjPts/Gm,GamesPlayed,EOS_Total,EOS_Avg,EOS_Avg_Delta,EOS_Surplus,Year,Age,Bye,Notes
Player,00-0038454,,149,No,37273,$1,,LAC,RB,1,Keaton Mitchell,,149,141,503,,R51,1,1,1,0,1,,,,,,,7.88,12,72.9,6.075,,,4,24,7,
Player,00-0039032,,150,No,37057,$1,,TEN,RB,1,Tyjae Spears,,150,142,142,,R52,1,1,1,0,1,,,,,,,7.29,12,102,8.5,,,4,24,9,
Player,00-0031588,,151,Yes,34302,$1,,NE,WR,1,Stefon Diggs,,151,143,164,,W56,1,1,1,0,1,,,,,,,0,16,203,12.6875,,,11,32,11,
Player,00-0035719,,152,Yes,35079,$1,,WAS,WR,1,Deebo Samuel Sr.,,152,144,197,,W57,1,1,1,0,1,,,,,,,0,15,199.1666667,13.27777778,,,7,30,7,
Player,00-0039794,,153,No,38006,$1,,NYJ,RB,1,Braelon Allen,,153,145,223,,R53,1,1,0,-1,1,,,,,,,5.03,4,17.63333333,4.408333333,,,3,22,13,
Player,00-0040162,,154,No,38244,$1,,CLE,RB,1,Dylan Sampson,,154,146,257,,R54,1,1,0,-1,1,,,,,,,7.44,14,92.2,6.585714286,,,2,21,11,
Player,00-0033553,,155,Yes,34824,$1,,AZ,RB,1,James Conner,,155,150,205,,R55,1,1,1,0,1,,,,,,,3.34,3,33.3,11.1,,,10,31,#N/A,
Player,00-0038797,,156,No,36288,$1,,SEA,RB,1,Emanuel Wilson,,156,151,410,,R56,1,1,0,-1,1,,,,,,,4.39,16,95.36666667,5.960416667,,,4,27,11,
Player,00-0033090,,157,Yes,34675,$1,,NE,TE,1,Hunter Henry,,157,152,163,,T18,1,1,1,0,1,,,,,,,9.68,16,168.2,10.5125,,,11,31,11,
Player,BOS677861,,158,No,37961,$1,,CLE,WR,1,Denzel Boston,,158,154,182,,W58,1,1,1,0,1,,,,,,,7.53,0,0,0,,,0,22,11,
Player,00-0039163,,159,Yes,37167,$1,,HOU,QB,1,C.J. Stroud,,159,156,186,,Q22,1,1,1.3,0.3,1,,,,,,,18.07,13,219.28,16.86769231,,,4,24,8,
Player,00-0037545,,160,Yes,36038,$1,,SEA,WR,1,Rashid Shaheed,,160,157,167,,W59,1,1,1,0,1,,,,,,,10.9,17,178.4666667,10.49803922,,,5,27,11,
Player,COO816508,,161,No,37969,$1,,NYJ,WR,1,Omar Cooper Jr.,,161,158,154,,W60,1,1,0,-1,1,,,,,,,7.55,0,0,0,,,0,22,13,
Player,00-0038555,,162,No,37498,$1,,PHI,RB,1,Tank Bigsby,,162,159,189,,R57,1,1,0,-1,1,,,,,,,4.95,14,43.1,3.078571429,,,4,23,10,
Player,00-0036261,,163,No,35871,$1,,SF,WR,1,Brandon Aiyuk,,163,160,214,,W61,1,1,1,0,1,,,,,,,6.51,0,0,0,,,6,28,8,
